,Production Run ID,Date,Temperature (°C),Pressure (Pa),Cooling Rate (°C/min),Machine Speed (RPM),Raw Material Quality (Score),Humidity (%),Ambient Temperature (°C),Maintenance (Days Since),Operator Shift,Batch Size (Units),Energy Consumption (kWh),Production Line,Production Output (Units),Defect Rate (%),Downtime (Minutes)
0,1,2023-01-01 00:00:00,199.5875789386118,5187.346864673475,4.197019995468867,1467.8537512579176,77.24949445239142,54.41935225220742,22.91628952283649,36.0,Night,104.0,50.31108376871979,Line 1,963,0.9254732829635044,25.0
1,2,2023-01-01 01:00:00,224.80067751326442,5214.943372451851,4.5610508831671845,1522.2736866582939,76.70063048676002,56.17166822208346,22.87201521361168,28.0,Night,,46.691092323896605,Line 1,1043,2.0712004893319267,37.0
2,3,2023-01-01 02:00:00,224.0271617041526,4856.441687239401,4.9368517433670425,1423.536278180663,80.5415097372854,49.52737693873519,29.14927772711363,25.0,Day,97.0,41.04009089247369,Line 1,969,2.3871252287183857,30.0
3,4,2023-01-01 03:00:00,204.44823748211041,5105.486001319954,5.156183402643786,1553.104489371995,85.95349276129771,51.710810988636645,27.805151242296333,24.0,Day,,49.862946796076415,Line 3,956,1.419953075961896,26.0
4,5,2023-01-01 04:00:00,200.25492917046876,4831.98019362954,5.514288944812057,1467.8189582438295,,56.59658208779763,27.50771455633991,37.0,Day,112.0,47.54214238827276,Line 3,1012,,28.0
5,6,2023-01-01 05:00:00,194.3517906414401,,,1377.0520728055935,77.25413885221509,46.12620285139285,24.79977881470336,35.0,Night,106.0,57.30312189983529,Line 1,1011,2.382009927045479,28.0
6,7,2023-01-01 06:00:00,205.78526420138152,5234.018097661414,4.774324750261941,1481.988322458532,86.79526846274501,43.69173112728886,22.187422813163195,25.0,Night,115.0,53.77257069705606,Line 3,1006,1.4619368479649912,34.0
7,8,2023-01-01 07:00:00,198.82994595360032,5020.655014883523,5.44182924485541,1474.2941202998747,75.74578960141432,52.470509002339206,23.218582537433676,35.0,Day,105.0,50.47055381020613,Line 3,1033,1.9216012940504523,23.0
8,9,2023-01-01 08:00:00,212.52228449216392,4978.987691112851,5.5224658225089165,1524.9407868280514,80.47058832472945,44.87029675952391,22.93754127345277,36.0,Day,112.0,48.51055146526723,Line 1,1026,2.0977274986664143,28.0
9,10,2023-01-01 09:00:00,209.1409733926941,5457.532770164976,4.838330465988507,1442.3306992314456,87.51216202770547,47.83186379375044,25.97870323919567,30.0,Day,123.0,49.898854359865524,Line 3,1000,1.0672819400238318,38.0
10,11,2023-01-01 10:00:00,191.49426044130303,5072.057743144483,4.733619321590906,1517.4317521847704,79.9148739584784,50.029999315523405,25.947262923644292,30.0,Day,111.0,,Line 2,996,1.9825885961524732,27.0
11,12,2023-01-01 11:00:00,193.12275847611434,4831.377536124275,5.24994621955158,1465.9699434413237,92.71792768291142,51.03111244561465,25.036860728617956,29.0,Day,128.0,,Line 1,1003,1.5765132470752354,31.0
12,13,2023-01-01 12:00:00,209.69665993689276,4815.825813990215,3.9643756352463835,1496.4842034442013,88.77403125039945,48.561855394825166,27.824302178246207,30.0,Night,93.0,57.809137021419374,Line 2,1028,2.1417018682676177,31.0
13,14,2023-01-01 13:00:00,206.94637642115492,5455.862589046227,4.993246591795409,1553.3194749399177,87.47805617853031,54.97800181178928,24.18027590420779,24.0,Day,99.0,55.16794403227618,Line 1,1031,2.0132042466736886,33.0
14,15,2023-01-01 14:00:00,188.86774447893467,,4.986544757201135,1554.9486673202764,82.21002220081819,49.615234571756936,26.428576155865745,37.0,Night,103.0,54.786290608559455,Line 1,1022,2.649917187594901,25.0
15,16,2023-01-01 15:00:00,195.4289897727633,4859.722089610797,4.766061010465277,1563.778550504076,80.6674809251041,41.83169507810747,21.218750160876297,31.0,Night,101.0,54.63655659058166,Line 3,991,1.6257136761145254,
16,17,2023-01-01 16:00:00,198.4604018868999,5005.357515585486,5.235806409133947,,82.71604084208553,51.14575623528652,,,Day,112.0,39.027857372159644,Line 1,1012,1.981852162166584,26.0
17,18,2023-01-01 17:00:00,199.63246403017226,5146.372055645551,5.545936856970437,1514.8597244332182,86.24956306626723,50.75276638923755,27.92521019099299,18.0,Night,107.0,48.96390836102466,Line 1,1045,2.2053152861666923,26.0
18,19,2023-01-01 18:00:00,199.2811587070092,4751.887944959217,4.512023446643313,1517.0114397856835,86.24682956383994,48.542468498795486,22.63625188494246,38.0,Day,115.0,48.87853196621274,Line 1,1050,2.236789166594053,19.0
19,20,2023-01-01 19:00:00,208.99239343851497,4944.297561459725,4.636009125630511,1562.6152246665831,80.90554275046601,48.79699041465074,27.67857678339624,30.0,Day,105.0,51.04345116647455,Line 2,1029,1.7402809656187803,32.0
20,21,2023-01-01 20:00:00,201.45774115017284,4731.723135659511,5.333053560715375,1483.6069600399626,81.36872271086811,47.52208679444615,27.534094905716398,27.0,Day,91.0,55.115520488934244,Line 1,1044,2.321308376393409,19.0
21,22,2023-01-01 21:00:00,200.80751330436945,4969.428869645924,4.273847374908054,1425.551676648373,77.26185832661054,45.72769250751585,19.95295226015905,34.0,Day,100.0,56.551922046102185,Line 3,1061,2.6332587115624517,29.0
22,23,2023-01-01 22:00:00,192.4323276851226,5164.306382153052,4.73378764528576,1542.4467525247971,96.39753645048047,57.52633544525682,28.049059022843736,24.0,Day,100.0,38.949148301967426,Line 1,983,2.1064711886973377,32.0
23,24,2023-01-01 23:00:00,201.67555546816834,4949.776063252702,6.084138302559242,1567.0493489882463,80.51195409695379,53.126551523941245,,34.0,Day,,52.45032423277886,Line 2,1032,2.358480727760058,32.0
24,25,2023-01-02 00:00:00,199.71278934299525,5393.871385122695,5.0945670964768945,,76.57752104134744,53.39352878474883,26.82376458814911,29.0,Night,87.0,60.19024785210554,Line 3,999,1.7983945468351004,33.0
25,26,2023-01-02 01:00:00,195.20141588827397,4830.653251148079,4.858061166552911,1445.356515840115,72.56153617469643,48.904048422649375,30.319351704402365,38.0,Day,94.0,48.04201301934401,Line 3,997,1.5068169843122707,37.0
26,27,2023-01-02 02:00:00,188.49332986151356,,4.137829462256418,1608.2750337772377,81.64229790568031,45.54297376743893,26.083674172556986,37.0,Night,103.0,49.83947230813608,Line 1,999,2.9754104766721694,28.0
27,28,2023-01-02 03:00:00,212.76947742278233,5261.486322523387,3.7966413896172932,1506.0136403261095,87.03006085093662,34.84555036887642,34.17295327359929,31.0,Day,88.0,50.092227347587695,Line 3,997,2.6422755293283804,20.0
28,29,2023-01-02 04:00:00,217.7972253153545,5201.780504699693,,1467.0133309533874,84.4758606963073,,27.442109661234763,39.0,Day,,44.975573179967874,Line 1,970,1.7691468378900244,25.0
29,30,2023-01-02 05:00:00,202.44502155202238,5528.523239571971,4.418284486764764,1554.8720946748374,84.05491802305801,60.321626539832344,24.667191677088116,23.0,Night,113.0,48.63750195723369,Line 1,1007,1.9956920200707335,24.0
30,31,2023-01-02 06:00:00,214.34600279146503,5064.755703191346,5.022742737441076,1583.240992305315,88.64809138389063,43.23214583039574,24.53462974772096,28.0,Day,107.0,56.24322890785062,Line 2,984,1.5813399741154293,32.0
31,32,2023-01-02 07:00:00,202.29534679054507,4821.029501344763,5.637193016671072,1419.6671279294956,87.9177938721457,40.163921604730845,26.197154156043975,24.0,Day,86.0,53.82802475833541,Line 3,1051,2.5661954602839945,37.0
32,33,2023-01-02 08:00:00,186.13138993359914,5016.769870398992,4.750981551085167,1526.878149114992,80.50793345453863,53.27405256760698,24.87229303872724,33.0,Day,112.0,,Line 3,947,2.076676160130291,30.0
33,34,2023-01-02 09:00:00,203.0029405604092,4832.37163601894,,1564.8653349163553,86.30302980578793,58.96072096732364,19.87392990845101,28.0,Day,103.0,51.28342787735366,Line 3,1037,2.4471177670101265,27.0
